Entry	STRING_ID
Q9QXZ6	10090.ENSMUSP00000037022
Q8R3L5	10090.ENSMUSP00000026897
P31648	10090.ENSMUSP00000032454
O55192	10090.ENSMUSP00000072709
P48030	10090.ENSMUSP00000032066
Q6P6J9	10090.ENSMUSP00000021959
Q61180	10090.ENSMUSP00000080164
Q3U3D7	10090.ENSMUSP00000049808
Q9EPK8	10090.ENSMUSP00000071859
Q9ES07	10090.ENSMUSP00000023616
Q99J94	10090.ENSMUSP00000107458
Q8CFE6	10090.ENSMUSP00000023099
A2APX8	10090.ENSMUSP00000076697
Q8BGY9	10090.ENSMUSP00000093379
Q9WTS4	10090.ENSMUSP00000110711
Q8BIK6	10090.ENSMUSP00000110209
Q60825	10090.ENSMUSP00000059138
Q8BX51	10090.ENSMUSP00000113912
Q9EP96	10090.ENSMUSP00000130746
Q8CIZ9	10090.ENSMUSP00000033610
Q8C110	10090.ENSMUSP00000077492
Q9D6X5	10090.ENSMUSP00000072961
Q9WTU3	10090.ENSMUSP00000080842
Q62205	10090.ENSMUSP00000097642
Q9QZI9	10090.ENSMUSP00000017851
Q6PFE7	10090.ENSMUSP00000030032
Q9WTS5	10090.ENSMUSP00000052014
Q8BUE1	10090.ENSMUSP00000027233
Q99KC7	10090.ENSMUSP00000066137
Q7M729	10090.ENSMUSP00000062507
Q8C503	10090.ENSMUSP00000030180
P97321	10090.ENSMUSP00000099793
Q8BHJ6	10090.ENSMUSP00000047547
Q9WU72	10090.ENSMUSP00000033892
Q9CZR2	10090.ENSMUSP00000128674
Q8R138	10090.ENSMUSP00000070551
Q8K078	10090.ENSMUSP00000045023
Q3UHK6	10090.ENSMUSP00000102783
Q9Z0L0	10090.ENSMUSP00000006559
Q9JL59	10090.ENSMUSP00000045748
G5E8K6	10090.ENSMUSP00000090102
Q3UU67	10090.ENSMUSP00000129808
Q8VIK5	10090.ENSMUSP00000133474
O70570	10090.ENSMUSP00000027675
Q62230	10090.ENSMUSP00000028794
Q60714	10090.ENSMUSP00000034267
Q8R218	10090.ENSMUSP00000083549
Q9WU39	10090.ENSMUSP00000000221
O35464	10090.ENSMUSP00000019791
Q9D687	10090.ENSMUSP00000022048
P35546	10090.ENSMUSP00000032201
Q9Z2J0	10090.ENSMUSP00000025212
O08966	10090.ENSMUSP00000024596
Q5NCP0	10090.ENSMUSP00000130685
Q80ZD3	10090.ENSMUSP00000050999
Q62313	10090.ENSMUSP00000068487
Q9WVC8	10090.ENSMUSP00000001254
P86050	10090.ENSMUSP00000131144
Q62314	NO_STRING_ID
Q64151	10090.ENSMUSP00000110643
Q8CIW6	10090.ENSMUSP00000095979
Q69ZU6	10090.ENSMUSP00000040176
P70302	10090.ENSMUSP00000033289
O35136	10090.ENSMUSP00000063468
Q8CIF6	10090.ENSMUSP00000044290
P86176	10090.ENSMUSP00000093770
Q8R2Z3	10090.ENSMUSP00000041789
Q9R0N6	10090.ENSMUSP00000113545
O54901	10090.ENSMUSP00000130518
Q76KF0	10090.ENSMUSP00000099529
Q7TQI0	10090.ENSMUSP00000024984
Q1JRP2	10090.ENSMUSP00000062915
P82350	10090.ENSMUSP00000099451
Q9JHJ8	10090.ENSMUSP00000101032
Q9Z123	10090.ENSMUSP00000000641
Q4VAE3	10090.ENSMUSP00000071984
Q8BTY2	10090.ENSMUSP00000058313
Q6T3U4	10090.ENSMUSP00000004505
P70452	10090.ENSMUSP00000033075
B1ATG9	10090.ENSMUSP00000092494
Q8C3Q5	10090.ENSMUSP00000064886
Q9DA75	10090.ENSMUSP00000030408
Q91XZ4	10090.ENSMUSP00000058592
Q7TSK3	10090.ENSMUSP00000045333
Q78IQ7	10090.ENSMUSP00000073134
Q9QX29	10090.ENSMUSP00000049063
P82347	10090.ENSMUSP00000076459
O70258	10090.ENSMUSP00000111242
Q99MR3	10090.ENSMUSP00000038106
P70207	10090.ENSMUSP00000027952
P13595	10090.ENSMUSP00000130668
Q8K3F6	10090.ENSMUSP00000063380
Q9WV38	10090.ENSMUSP00000030826
O88703	10090.ENSMUSP00000097113
Q8R000	10090.ENSMUSP00000046286
P57787	10090.ENSMUSP00000068854
Q62151	10090.ENSMUSP00000015596
Q61495	10090.ENSMUSP00000076393
Q9JLN5	10090.ENSMUSP00000123426
Q8R4F0	10090.ENSMUSP00000038801
Q8C8S3	10090.ENSMUSP00000057116
Q8BYF6	10090.ENSMUSP00000020255
Q8BGK6	10090.ENSMUSP00000034378
Q9QXP0	10090.ENSMUSP00000032766
Q7TN37	10090.ENSMUSP00000040367
Q61165	10090.ENSMUSP00000030669
O88575	10090.ENSMUSP00000026273
Q9WU38	10090.ENSMUSP00000033161
Q921W8	10090.ENSMUSP00000026162
Q8CA03	10090.ENSMUSP00000030081
Q9ER04	10090.ENSMUSP00000064527
Q9DBI0	10090.ENSMUSP00000017086
Q8VDB9	10090.ENSMUSP00000047690
Q62147	10090.ENSMUSP00000032383
O35316	10090.ENSMUSP00000032185
Q8VCA0	10090.ENSMUSP00000025666
Q49B93	10090.ENSMUSP00000047340
Q6QIY3	10090.ENSMUSP00000081845
P20826	10090.ENSMUSP00000100920
Q9JKD3	10090.ENSMUSP00000035898
Q9D8N1	10090.ENSMUSP00000047063
Q99JB7	10090.ENSMUSP00000021707
P23242	10090.ENSMUSP00000064536
Q9Z307	10090.ENSMUSP00000102246
Q8R4P5	10090.ENSMUSP00000040859
Q03717	10090.ENSMUSP00000057981
Q9R0M4	10090.ENSMUSP00000026698
Q99K10	10090.ENSMUSP00000074565
Q91ZV7	10090.ENSMUSP00000103191
Q9EPT5	10090.ENSMUSP00000035148
Q5G5D5	10090.ENSMUSP00000116437
Q62170	10090.ENSMUSP00000098436
P97952	10090.ENSMUSP00000096148
Q9ER60	10090.ENSMUSP00000021056
Q9ET37	10090.ENSMUSP00000020450
Q9EPR5	10090.ENSMUSP00000041828
Q80ZI2	10090.ENSMUSP00000062178
Q61327	10090.ENSMUSP00000022100
Q60857	10090.ENSMUSP00000021195
P0C8K7	10090.ENSMUSP00000138605
Q9CS84	NO_STRING_ID
P69525	10090.ENSMUSP00000100970
Q3UH53	10090.ENSMUSP00000082928
Q3TH73	10090.ENSMUSP00000037821
Q761V0	10090.ENSMUSP00000058699
Q6P1D5	10090.ENSMUSP00000078454
Q76M72	10090.ENSMUSP00000093991
Q8R0S9	10090.ENSMUSP00000022995
Q8K4D3	10090.ENSMUSP00000104500
Q9JJL3	10090.ENSMUSP00000044326
Q8K0H1	10090.ENSMUSP00000010267
Q8BGD4	10090.ENSMUSP00000071875
Q3V0X1	NO_STRING_ID
Q8K2J7	10090.ENSMUSP00000118125
Q5S248	10090.ENSMUSP00000124534
Q9D856	10090.ENSMUSP00000131736
Q810B8	10090.ENSMUSP00000064443
Q8BGG0	10090.ENSMUSP00000035257
B1AT66	10090.ENSMUSP00000065628
Q91Y63	10090.ENSMUSP00000029208
Q64519	10090.ENSMUSP00000065877
Q7M758	10090.ENSMUSP00000044231
E9Q0N2	10090.ENSMUSP00000125833
Q14C59	NO_STRING_ID
P82348	10090.ENSMUSP00000077106
Q5DID3	10090.ENSMUSP00000110202
Q9D3A9	10090.ENSMUSP00000078384
Q91X86	10090.ENSMUSP00000042825
Q8R139	10090.ENSMUSP00000059896
Q3UH99	10090.ENSMUSP00000071025
Q9QUQ5	10090.ENSMUSP00000029311
Q9EPR4	10090.ENSMUSP00000028815
Q91WN2	10090.ENSMUSP00000063977
P41047	10090.ENSMUSP00000000834
Q9D806	10090.ENSMUSP00000034413
Q80X89	10090.ENSMUSP00000114583
Q80WK2	10090.ENSMUSP00000064494
P70669	10090.ENSMUSP00000078863
Q810U3	10090.ENSMUSP00000092148
Q8BKT6	10090.ENSMUSP00000031678
Q69ZN7	10090.ENSMUSP00000045036
Q925Q3	10090.ENSMUSP00000064714
Q8BI41	10090.ENSMUSP00000139267
Q80XG9	10090.ENSMUSP00000117263
Q91WD2	10090.ENSMUSP00000031902
S4R2P9	10090.ENSMUSP00000138735
Q8CJ26	10090.ENSMUSP00000035069
Q3UUY6	10090.ENSMUSP00000028855
Q91XY4	NO_STRING_ID
Q8VI47	10090.ENSMUSP00000026208
Q6PB90	10090.ENSMUSP00000054111
Q8K3P1	10090.ENSMUSP00000054233
Q8CGQ8	10090.ENSMUSP00000078030
P20917	10090.ENSMUSP00000139881
P60202	10090.ENSMUSP00000033800
Q9WTR1	10090.ENSMUSP00000018651
Q02739	10090.ENSMUSP00000045325
Q9ERM2	10090.ENSMUSP00000001040
Q9JM63	10090.ENSMUSP00000054356
Q9JHL0	10090.ENSMUSP00000046900
A2ANU3	10090.ENSMUSP00000105561
O70451	10090.ENSMUSP00000065433
P69744	10090.ENSMUSP00000031901
B1AWJ5	10090.ENSMUSP00000103497
Q8BXB6	10090.ENSMUSP00000032985
Q5SWY8	10090.ENSMUSP00000054407
Q9JJV9	10090.ENSMUSP00000112838
Q704Y3	10090.ENSMUSP00000099585
Q9R053	10090.ENSMUSP00000065466
Q61143	10090.ENSMUSP00000057965
Q8C145	10090.ENSMUSP00000064667
Q810C0	10090.ENSMUSP00000130057
Q9QYH9	10090.ENSMUSP00000005976
Q91YY5	10090.ENSMUSP00000080116
Q7TS55	10090.ENSMUSP00000083251
O70324	10090.ENSMUSP00000037629
Q91YD4	10090.ENSMUSP00000101040
Q7TSK2	10090.ENSMUSP00000091532
Q75N73	10090.ENSMUSP00000066108
O88343	10090.ENSMUSP00000121744
Q9QZ03	10090.ENSMUSP00000076012
Q8R143	10090.ENSMUSP00000009435
Q9DCF1	10090.ENSMUSP00000002100
Q8R4D5	10090.ENSMUSP00000036991
P50592	10090.ENSMUSP00000040271
Q62011	10090.ENSMUSP00000030317
Q08481	10090.ENSMUSP00000079664
O35308	10090.ENSMUSP00000040522
Q3V009	10090.ENSMUSP00000034698
P41438	10090.ENSMUSP00000101050
Q3LS21	10090.ENSMUSP00000038729
Q01102	10090.ENSMUSP00000123924
Q3UZP0	10090.ENSMUSP00000022137
Q3UPR7	10090.ENSMUSP00000132164
Q8BHK3	10090.ENSMUSP00000045613
Q61423	10090.ENSMUSP00000037958
O35245	10090.ENSMUSP00000084041
Q64455	10090.ENSMUSP00000107121
Q9D7U6	10090.ENSMUSP00000041676
P40240	10090.ENSMUSP00000032492
Q4VA61	10090.ENSMUSP00000034592
Q0VBD0	10090.ENSMUSP00000026360
Q9D3P8	10090.ENSMUSP00000120466
Q8VHR0	10090.ENSMUSP00000039245
Q7TMJ8	10090.ENSMUSP00000036921
Q8CEG0	10090.ENSMUSP00000011262
O35449	10090.ENSMUSP00000015620
O88689	NO_STRING_ID
P63141	10090.ENSMUSP00000041702
Q8BYM5	10090.ENSMUSP00000066304
Q9CRA0	10090.ENSMUSP00000032341
E9PVD3	10090.ENSMUSP00000077574
Q923D3	10090.ENSMUSP00000042844
Q80TF3	10090.ENSMUSP00000116886
Q9JIP4	10090.ENSMUSP00000126405
Q9EQS9	10090.ENSMUSP00000076878
Q6ZPR4	10090.ENSMUSP00000039058
O35219	10090.ENSMUSP00000047705
Q2Q5T5	10090.ENSMUSP00000126690
Q8QZT4	10090.ENSMUSP00000094902
Q8BMF8	10090.ENSMUSP00000056080
Q5SZV5	10090.ENSMUSP00000006893
Q9D9J7	10090.ENSMUSP00000033100
Q9JLB9	10090.ENSMUSP00000023334
Q00690	10090.ENSMUSP00000027874
Q8BWG9	10090.ENSMUSP00000113097
Q8K480	10090.ENSMUSP00000034654
P32037	10090.ENSMUSP00000032476
Q66JT1	10090.ENSMUSP00000052055
Q91Y11	NO_STRING_ID
Q9Z0G9	10090.ENSMUSP00000091799
P22723	10090.ENSMUSP00000063812
O88792	10090.ENSMUSP00000041907
Q2WF71	10090.ENSMUSP00000103923
Q91ZI8	10090.ENSMUSP00000133920
Q9Z0V2	10090.ENSMUSP00000080257
Q61790	10090.ENSMUSP00000032217
Q8BR86	10090.ENSMUSP00000140219
A2VDH3	10090.ENSMUSP00000053597
Q9ESG4	10090.ENSMUSP00000107899
Q71M36	10090.ENSMUSP00000035058
O54942	10090.ENSMUSP00000041925
Q8BGM5	10090.ENSMUSP00000053408
Q9Z0S7	10090.ENSMUSP00000093236
Q922T2	10090.ENSMUSP00000020830
E9Q7X6	10090.ENSMUSP00000119790
Q99N32	10090.ENSMUSP00000031096
Q3TNL8	NO_STRING_ID
