Symbol,Transcript/RepeatID,ys_10.5_dispo_1 (14.92),ys_10.5_dispo_2 (13.67),ys_11.5_dispo_1 (11.06),ys_11.5_dispo_2 (10.83),YS_12.5_new_dispomix_2 (5.65),YS_12.5_new_dispomix_3 (3.56),ys_13.5_dispo_1 (7.37),ys_13.5_dispo_2 (10.25),Brain_10.5_1 (20.60),Brain_10.5_2 (21.08),day11.5_brain_1 (2.85),day11.5_brain_2 (2.13),BRAIN_12_5_a (1.78),BRAIN_12_5_b (2.08),mic_E13_5 (4.23),mic_E14_5 (3.45),mic_E16_5_a (6.19),mic_E16_5_b (6.87),mic_day3_a (4.42),mic_day3_b (4.30),mic_day6_a (4.08),mic_day6_c (3.96),mic_day9_b (4.94),mic_day9_c (4.13),SC_a (5.83),SC_b (5.77),cortex_a (5.78),cortex_b (5.21),hipo_a (6.95),hipo_b (5.02)
Fam227b,NM_029455,0,0,11.059,0,0,3.556,0,0,0,0,0,4.264,0,0,0,0,0,0,4.421,0,0,0,0,0,0,0,0,0,0,0
Efhd1,NM_028889,0,0,0,0,0,0,0,0,0,21.077,0,0,0,0,4.228,0,0,0,8.841,0,4.076,0,0,0,0,23.08,5.777,5.209,20.862,0
Tmbim1,NM_027154,462.375,382.735,254.346,205.802,672.888,512.072,575.195,512.459,432.687,358.315,435.765,550.108,626.239,611.007,384.708,420.554,253.944,391.868,260.813,326.668,317.922,190.244,172.749,173.39,437.255,357.747,433.284,395.88,528.509,457.075
Fam175a,NM_172405,74.577,95.684,121.644,97.485,79.163,81.789,95.866,40.997,123.625,84.309,148.103,106.61,78.503,70.661,67.641,62.049,49.55,54.999,61.888,64.474,81.519,91.158,44.421,115.593,69.961,173.104,69.325,41.672,125.173,70.319
Rhbdd1,NM_029777,44.746,27.338,66.351,64.99,84.818,74.677,117.989,102.492,61.812,21.077,45.57,49.041,51.741,37.409,101.461,79.285,55.744,89.373,114.935,55.877,163.037,110.975,118.457,78.438,40.81,57.701,259.97,130.224,69.541,175.798
Olfr955,NM_207141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.841,4.298,0,0,0,0,0,0,0,0,0,0
Mgat4c,NM_001162368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.421,0,0,0,0,0,0,0,0,0,0,0
Lgi2,NM_001310604,0,0,0,0,5.655,0,14.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.128,0,0,0,0,0,0
Zhx2,NM_199449,0,0,0,0,5.655,0,7.374,0,0,0,2.848,4.264,1.784,4.157,8.455,6.894,6.194,6.875,4.421,4.298,0,0,9.871,16.513,5.83,0,23.108,0,34.77,5.023
Best3,NM_001007583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sema3b,NM_001291538,14.915,0,0,0,22.618,0,7.374,0,0,0,0,0,0,0,8.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r1c,NM_172420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,4.421,0,0,0,0,0,0,0,0,0,0,0
Gh,NM_008117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbll1,NM_001004147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.128,0,0,0,0,0,0
Nefl,NM_010910,0,0,0,0,0,0,0,0,0,0,19.937,0,5.352,10.391,0,0,0,0,0,0,4.076,0,0,0,0,17.31,0,0,0,0
Masp1,NM_008555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem161a,NM_145597,178.984,191.368,176.936,151.644,237.49,174.247,294.972,225.482,206.042,274.006,207.914,249.468,315.796,261.86,393.163,468.814,514.082,529.366,358.066,545.88,362.757,400.304,394.855,454.117,262.353,155.793,335.073,364.626,389.428,326.482
Phactr4,NM_001161797,104.407,246.044,143.761,238.297,158.327,113.794,140.111,174.236,164.833,126.464,139.559,198.295,115.97,110.147,152.192,265.431,198.2,268.12,145.879,193.422,183.417,182.317,182.621,152.749,99.111,98.092,75.103,171.895,90.403,110.502
Ube2e2,NM_144839,14.915,13.669,11.059,21.663,28.273,74.677,14.749,40.997,0,0,19.937,34.115,19.626,29.096,12.683,13.789,0,6.875,0,0,0,0,0,4.128,29.15,11.54,11.554,0,0,0
Gm906,NM_001033438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpp7,NM_001081287,44.746,0,0,32.495,5.655,10.668,7.374,20.498,0,21.077,28.481,34.115,23.194,18.704,25.365,3.447,18.581,13.75,4.421,4.298,48.911,35.671,9.871,16.513,29.15,5.77,5.777,20.836,27.816,20.091
Pex5l,NM_021483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trappc5,NM_025701,134.238,177.699,66.351,54.159,50.891,67.565,110.614,61.495,103.021,84.309,88.292,113.007,140.948,149.634,114.144,130.992,61.938,82.499,92.832,77.369,114.126,214.024,123.392,198.16,110.771,161.563,167.536,218.776,159.943,145.661
Med1,NM_134027,134.238,232.375,199.053,151.644,180.945,170.691,258.1,286.977,309.062,295.083,187.977,185.502,119.539,141.321,177.557,203.382,161.038,144.373,150.299,154.738,236.404,249.695,162.878,189.904,128.261,196.184,196.422,187.522,187.76,195.889
Ehbp1l1,NM_001114595,1968.821,1749.647,1846.773,1895.548,2148.718,1934.496,2367.147,2439.304,1792.561,2086.657,1854.138,2217.49,1393.427,1687.543,2134.917,2233.76,1789.997,2083.09,1631.188,1512.991,1169.791,1418.901,1396.801,1114.651,769.568,842.437,947.447,729.253,910.982,748.398
H2-Ea-ps,NM_010381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd86,NM_019388,134.238,95.684,199.053,335.783,197.908,177.803,339.217,307.475,288.458,126.464,236.396,223.881,315.796,266.017,435.439,434.342,681.314,460.617,698.449,606.056,802.957,661.889,607.09,524.299,268.183,190.414,392.844,296.91,354.657,366.665
Rnf115,NM_026406,447.459,437.412,475.516,411.605,282.726,401.835,442.457,584.203,494.5,505.856,432.917,379.532,337.206,311.738,177.557,248.196,111.488,158.122,181.243,184.826,216.024,233.841,138.199,144.492,139.922,259.655,225.308,234.403,201.668,236.072
Cd3eap,NM_145822,328.137,232.375,199.053,227.466,141.363,231.144,265.474,102.492,267.854,210.773,356.017,298.508,442.471,423.964,304.384,341.269,315.882,261.246,207.766,202.019,171.189,281.402,281.334,255.957,332.314,450.069,502.609,604.238,646.728,537.44
Cwc15,NM_023153,715.935,464.75,508.692,563.248,452.362,451.619,516.2,502.21,432.687,421.547,404.436,445.63,401.435,407.338,253.654,237.854,173.425,96.248,154.72,167.632,175.265,138.719,128.328,148.62,69.961,178.874,184.868,119.806,159.943,185.844
Suv420h2,NM_146177,566.782,820.147,939.974,1094.002,605.034,494.292,789.049,778.938,576.916,1032.79,937.038,921.111,783.245,877.023,1420.46,1234.084,1164.427,1333.727,1304.066,1547.377,1406.195,1355.486,1406.672,1738.031,472.235,444.299,589.266,651.119,591.095,713.238
Olfr994,NM_146433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ept1,NM_027652,74.577,54.676,77.41,32.495,16.964,14.224,73.743,81.993,20.604,84.309,113.926,95.949,62.446,56.113,46.503,51.707,68.131,41.249,48.626,64.474,126.354,55.488,49.357,86.695,75.791,69.241,40.44,41.672,62.587,75.342
Senp8,NM_001172069,74.577,41.007,44.234,86.654,16.964,21.336,51.62,61.495,41.208,0,31.33,27.719,30.331,20.783,8.455,24.13,12.388,13.75,22.103,30.088,24.456,23.78,39.486,57.797,58.301,63.471,51.994,31.254,125.173,65.296
Mar.01,NM_001166375,44.746,82.015,99.527,173.307,192.254,142.242,191.732,143.488,41.208,105.387,133.863,87.42,103.481,149.634,224.061,193.041,136.263,213.121,119.355,206.317,240.48,217.988,182.621,264.214,314.823,548.161,485.278,479.223,403.336,381.733
Asah2,NM_018830,29.831,0,33.176,10.832,28.273,10.668,44.246,10.249,41.208,0,5.696,10.661,14.273,18.704,16.91,20.683,30.969,27.5,8.841,17.193,12.228,31.707,19.743,41.283,23.32,11.54,17.331,20.836,48.678,30.137
Mob3b,NM_178061,59.661,27.338,132.702,43.327,45.236,21.336,73.743,61.495,41.208,21.077,39.874,44.776,24.978,22.861,16.91,24.13,12.388,0,4.421,4.298,16.304,19.817,0,4.128,17.49,11.54,0,0,0,0
Rps6kl1,NM_146244,0,0,0,0,0,0,0,0,0,0,0,4.264,0,0,12.683,13.789,0,6.875,0,4.298,0,0,0,0,0,0,0,0,0,0
Acsm3,NM_212441,0,0,0,0,5.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl27b,NM_001199960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Map7d2,NM_001081124,0,0,0,0,0,0,0,0,0,0,2.848,6.397,0,0,0,0,0,0,0,0,0,3.963,0,0,0,0,0,0,0,0
Olfr433,NM_146717,0,0,0,0,0,0,0,0,0,21.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unc5b,NM_029770,0,0,0,0,11.309,0,36.871,30.748,0,0,0,17.058,8.921,8.313,4.228,0,0,20.625,17.682,4.298,16.304,0,4.936,0,0,17.31,0,0,6.954,5.023
Idi2,NM_177197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tpd52,NM_009412,2058.313,2433.103,2454.992,2502.123,2476.681,2521.246,2094.298,1752.609,3008.207,3351.298,2907.95,2577.832,2285.505,2078.255,1860.126,2092.427,1189.202,1010.608,1105.141,1040.181,717.363,828.353,809.454,652.277,617.987,819.357,652.814,541.731,507.647,733.33
Ube2v1,NM_001311146,1118.648,1134.537,917.857,1169.824,684.197,867.678,870.166,840.433,906.583,1074.945,891.467,1279.321,967.013,974.701,1090.71,1044.49,1195.396,962.484,981.365,924.128,745.895,864.023,873.618,846.309,209.882,248.115,415.952,390.671,285.117,442.007
Slx1b,NM_029420,193.899,205.037,187.995,129.98,260.108,259.592,117.989,143.488,206.042,168.619,219.307,240.939,281.897,317.973,287.474,293.009,272.525,247.496,229.869,270.791,199.72,245.731,227.042,218.802,390.614,323.127,410.175,395.88,493.739,376.71
Olfr115,NM_001011753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smgc,NM_198927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao1,NM_133892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abl2,NM_009595,387.798,328.059,221.17,227.466,243.144,305.821,435.083,379.22,309.062,252.928,276.269,298.508,239.077,257.704,207.15,282.667,303.494,357.494,287.337,382.546,334.226,313.109,246.785,288.984,384.784,201.954,329.296,317.746,465.922,356.619
Dlgap1,NM_001128180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankmy2,NM_146033,104.407,109.353,132.702,119.149,107.436,71.121,73.743,71.744,123.625,84.309,88.292,95.949,69.582,43.643,71.869,82.732,86.713,103.123,101.673,107.457,97.822,75.305,108.585,144.492,81.621,51.931,103.988,10.418,104.311,75.342
Grhl1,NM_001161406,0,0,0,0,0,0,7.374,10.249,20.604,0,8.544,6.397,5.352,4.157,0,3.447,6.194,6.875,4.421,4.298,8.152,11.89,4.936,20.642,11.66,0,0,0,6.954,10.046
Ermp1,NM_001081213,104.407,68.346,44.234,64.99,28.273,39.117,29.497,20.498,0,63.232,39.874,34.115,60.661,33.252,38.048,31.024,24.775,68.749,30.944,38.684,44.835,51.524,49.357,57.797,17.49,40.391,17.331,5.209,20.862,35.16
Aldob,NM_144903,29.831,13.669,0,0,96.127,42.673,7.374,0,0,0,0,6.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smlr1,NM_001195596,0,0,0,0,16.964,17.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plpp7,NM_145521,14.915,27.338,77.41,86.654,124.399,99.57,110.614,81.993,41.208,84.309,125.318,140.725,107.049,93.521,236.743,206.83,130.069,164.997,150.299,223.51,134.506,114.939,320.82,218.802,17.49,92.322,144.428,156.268,125.173,135.616
Caly,NM_001190385,0,0,0,0,22.618,14.224,14.749,0,0,0,0,0,0,12.47,4.228,10.341,24.775,0,4.421,0,0,0,24.678,8.257,0,0,17.331,0,0,0
Agt,NM_007428,0,0,0,0,5.655,3.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl5,NM_009141,0,0,0,0,141.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mup16,NM_001199936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnip1,NM_021327,193.899,123.022,287.522,205.802,316.653,348.494,361.34,266.479,226.646,21.077,264.877,345.417,185.552,174.573,321.295,382.635,334.463,371.244,318.281,352.458,281.239,166.463,172.749,227.059,239.033,178.874,161.759,244.821,139.081,165.753
Frg1,NM_013522,59.661,54.676,77.41,86.654,147.018,149.354,95.866,51.246,0,42.155,34.178,40.512,89.208,62.348,114.144,68.943,86.713,75.624,66.308,103.158,101.898,257.622,113.521,119.722,34.98,103.862,86.657,119.806,111.265,125.57
Srcin1,NM_018873,0,0,0,32.495,11.309,17.78,7.374,0,41.208,42.155,17.089,23.454,3.568,18.704,25.365,20.683,12.388,13.75,8.841,12.895,4.076,27.744,4.936,12.385,0,0,17.331,5.209,0,5.023
Atp13a5,NM_175650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,0,0,0,0,0,0,0,0,0,0,0,0
Fam160a2,NM_001242364,14.915,27.338,110.585,32.495,16.964,10.668,36.871,30.748,41.208,84.309,45.57,61.834,33.899,41.565,42.276,68.943,68.131,109.998,57.467,77.369,52.987,39.634,59.228,66.053,58.301,80.782,46.217,57.298,76.495,45.205
Snrpn,NM_001082962,29.831,0,0,10.832,5.655,3.556,0,0,41.208,42.155,37.026,27.719,24.978,22.861,8.455,27.577,0,0,0,8.597,0,3.963,4.936,12.385,0,0,0,0,0,0
Tmem132b,NM_001190352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.421,0,4.076,0,0,0,0,0,0,0,0,0
Adtrp,NM_175417,0,0,0,0,11.309,3.556,0,10.249,0,42.155,0,2.132,1.784,4.157,16.91,3.447,6.194,0,17.682,8.597,20.38,23.78,39.486,4.128,34.98,17.31,46.217,36.463,6.954,90.411
Timm9,NM_001024853,790.511,861.155,298.58,281.624,243.144,248.924,199.106,184.485,741.75,526.934,393.043,345.417,360.4,309.66,224.061,255.09,204.394,144.373,238.71,150.439,93.746,99.085,128.328,103.208,174.902,144.253,155.982,145.851,187.76,160.73
Dync1i1,NM_001191023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.627,0,0
Mef2a,NM_001291192,566.782,587.772,420.224,509.09,554.143,348.494,560.446,481.711,473.896,484.779,751.909,594.884,476.37,542.424,549.583,703.221,637.957,611.865,601.197,666.232,774.426,927.438,957.524,1069.24,2413.647,2192.645,2813.456,3151.414,3122.375,2903.182
Prr18,NM_178774,0,0,11.059,10.832,11.309,3.556,0,0,0,0,8.544,12.793,5.352,12.47,4.228,13.789,12.388,20.625,26.523,4.298,0,7.927,29.614,49.54,17.49,23.08,28.886,26.045,55.633,25.114
Mapk8ip1,NM_001202446,0,0,0,0,0,0,14.749,0,0,0,22.785,12.793,0,10.391,16.91,6.894,6.194,20.625,0,0,0,0,14.807,4.128,0,0,5.777,5.209,6.954,10.046
Trpc1,NM_001311123,0,0,0,0,0,0,7.374,0,0,0,0,0,0,0,0,10.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephb3,NM_010143,0,0,0,0,5.655,0,14.749,0,0,0,2.848,4.264,7.137,20.783,21.138,17.236,92.906,41.249,53.047,42.983,77.443,67.378,83.907,78.438,52.471,51.931,138.651,208.358,208.622,85.388
Unc13d,NM_001009573,59.661,13.669,33.176,64.99,50.891,32.005,58.994,51.246,41.208,147.541,51.266,66.098,126.675,91.443,291.702,248.196,272.525,391.868,141.458,257.896,289.391,214.024,231.978,206.417,221.542,276.966,265.747,312.537,299.025,406.847
Taf9,NM_027139,89.492,82.015,55.293,108.317,16.964,10.668,58.994,40.997,103.021,84.309,71.203,68.23,57.093,39.487,38.048,41.366,30.969,20.625,30.944,47.281,52.987,63.415,59.228,82.567,17.49,11.54,23.108,10.418,62.587,10.046
Eif5a,NM_001166595,17480.744,17592.157,10494.537,11654.911,7554.442,8040.249,7639.763,8476.07,12444.91,13763.508,9692.216,12251.63,8150.031,7645.899,6692.226,7194.225,4224.145,4826.169,4676.956,4448.708,4634.328,4589.629,4654.358,4380.167,1824.81,1673.334,1912.226,1760.625,1710.7,1994.054
Lpar1,NM_010336,0,0,0,21.663,11.309,7.112,29.497,0,0,0,19.937,2.132,1.784,2.078,0,3.447,0,6.875,0,8.597,0,0,0,0,0,0,0,0,0,0
Gria3,NM_016886,29.831,41.007,44.234,54.159,16.964,0,22.123,0,20.604,63.232,19.937,12.793,3.568,12.47,4.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001K19Rik,NM_025488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmbim6,NM_026669,3132.215,3294.258,3693.546,3520.303,4348.328,4530.419,5021.891,5790.786,3193.644,3393.453,4397.526,5130.077,4692.334,5436.714,4988.52,5746.417,5561.997,6661.763,6431.92,6357.14,5188.654,5378.347,6312.751,5759.032,5835.894,4587.243,6857.439,6505.978,4061.174,7177.59
Zfp740,NM_001289694,74.577,82.015,232.229,151.644,197.908,145.798,199.106,215.233,206.042,189.696,210.762,215.352,178.416,216.138,465.032,458.472,582.214,680.614,495.103,623.249,468.732,535.06,567.605,569.711,402.274,444.299,687.477,604.238,500.693,632.874
Kcnj1,NM_019659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.421,0,0,0,0,0,0,0,0,0,0,0
Igip,NM_001267796,0,0,0,10.832,0,0,0,0,0,0,0,4.264,0,4.157,4.228,6.894,0,0,4.421,0,4.076,27.744,19.743,12.385,0,17.31,23.108,20.836,0,15.068
Ccdc30,NM_028506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mllt4,NM_010806,0,0,0,0,5.655,3.556,0,0,0,0,8.544,17.058,7.137,2.078,8.455,27.577,0,0,13.262,4.298,8.152,7.927,14.807,0,23.32,11.54,5.777,20.836,13.908,5.023
Lrrc17,NM_028977,14.915,0,0,0,0,0,7.374,0,0,0,0,2.132,0,2.078,0,0,0,0,0,0,0,0,4.936,0,0,0,0,0,0,0
Gjb1,NM_001302498,0,0,0,0,22.618,0,0,0,0,0,0,0,0,0,0,3.447,0,0,0,0,0,0,0,0,5.83,0,0,0,0,0
Ptbp3,NM_178164,626.443,861.155,763.038,649.902,525.871,622.31,1216.758,748.19,556.312,843.094,712.035,684.437,528.111,573.598,376.253,386.082,402.594,295.62,428.795,391.142,517.643,328.963,276.399,392.192,192.392,225.035,179.091,270.865,243.392,331.505
Cox7b2,NM_030052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vapa,NM_013933,1655.6,1626.625,1116.911,1094.002,836.869,899.683,1128.266,901.928,988.999,948.481,917.101,1004.267,1102.609,920.667,727.14,754.928,712.282,549.991,707.29,606.056,517.643,467.682,488.634,454.117,787.059,646.253,964.779,812.596,910.982,788.581
Grik2,NM_010349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110017D15Rik,NM_001048005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,4.421,0,0,0,0,0,0,0,0,0,0,0
Ubn2,NM_177185,178.984,205.037,199.053,205.802,243.144,131.574,265.474,235.731,123.625,358.315,247.788,238.807,194.473,251.469,363.57,441.237,526.47,570.615,556.991,545.88,676.604,546.951,760.097,685.304,314.823,473.15,485.278,651.119,465.922,522.372
Dpp6,NM_207282,0,0,0,0,0,0,0,0,0,0,14.241,2.132,5.352,4.157,42.276,20.683,12.388,6.875,8.841,17.193,0,0,4.936,0,0,0,0,0,0,0
Jag2,NM_010588,0,0,0,0,0,0,0,0,0,0,0,2.132,0,0,0,3.447,0,6.875,4.421,4.298,4.076,19.817,4.936,8.257,5.83,0,5.777,0,0,0
Lrrn1,NM_008516,0,0,0,0,0,0,0,0,0,0,14.241,8.529,3.568,2.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pou4f2,NM_138944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ssxb5,NM_199319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2f3,NM_010093,164.068,109.353,77.41,54.159,90.472,64.009,117.989,81.993,144.229,147.541,105.381,121.535,96.344,74.817,88.779,106.862,142.456,96.248,88.411,64.474,195.644,118.902,98.714,140.364,244.863,190.414,346.627,255.239,340.749,301.368
Aldoc,NM_001303423,14.915,41.007,0,0,45.236,24.892,22.123,10.249,0,21.077,11.393,17.058,1.784,18.704,4.228,24.13,0,0,4.421,0,0,7.927,0,8.257,11.66,5.77,5.777,0,6.954,5.023
Chadl,NM_001164320,0,0,0,0,0,3.556,0,10.249,0,0,2.848,2.132,3.568,6.235,4.228,0,12.388,0,0,0,4.076,0,4.936,0,0,0,0,0,0,5.023
Dip2a,NM_001081419,74.577,54.676,55.293,10.832,90.472,46.229,103.24,71.744,0,0,42.722,66.098,26.762,27.017,21.138,41.366,37.163,6.875,57.467,30.088,32.607,35.671,19.743,24.77,46.641,11.54,40.44,36.463,34.77,70.319
Cdc40,NM_027879,238.645,150.36,121.644,140.812,101.781,78.233,95.866,102.492,164.833,274.006,196.522,174.841,103.481,143.4,118.372,134.439,117.681,123.748,79.57,120.352,73.367,99.085,64.164,78.438,110.771,121.172,132.874,93.761,97.357,90.411
Cacnb2,NM_023116,14.915,0,0,21.663,0,3.556,14.749,0,20.604,63.232,5.696,25.586,10.705,2.078,0,10.341,30.969,20.625,17.682,8.597,32.607,19.817,19.743,20.642,40.81,11.54,51.994,20.836,6.954,45.205
Crat,NM_007760,313.222,287.052,453.399,389.941,350.58,320.045,449.832,368.97,185.437,252.928,390.195,477.613,385.378,442.668,570.721,499.838,594.601,536.241,711.711,889.742,513.567,772.865,735.418,763.743,384.784,351.977,525.718,447.97,556.325,386.756
Plec,NM_201388,253.56,328.059,298.58,238.297,932.996,572.525,471.954,635.449,82.417,126.464,187.977,321.962,117.754,103.913,477.714,496.391,346.851,316.245,287.337,253.598,264.935,285.366,182.621,214.674,34.98,69.241,11.554,26.045,6.954,20.091
Cnot1,NM_153164,536.951,341.728,353.873,249.129,209.217,227.588,199.106,307.475,391.479,442.624,356.017,368.871,205.178,203.669,312.839,282.667,192.007,247.496,265.234,262.194,207.872,225.914,241.849,280.727,104.941,86.552,190.645,140.642,215.576,160.73
Anapc10,NM_026904,59.661,54.676,22.117,21.663,22.618,28.448,22.123,20.498,20.604,42.155,31.33,25.586,30.331,16.626,29.593,27.577,12.388,27.5,35.365,30.088,32.607,23.78,4.936,24.77,0,28.851,5.777,0,27.816,5.023
Zfp12,NM_001289589,29.831,13.669,66.351,32.495,45.236,35.561,29.497,40.997,20.604,63.232,37.026,46.908,28.547,41.565,59.186,89.626,80.519,61.874,57.467,47.281,28.531,83.232,78.971,57.797,69.961,80.782,80.88,83.343,152.989,105.479
Zcchc9,NM_145453,298.306,218.706,154.819,249.129,124.399,152.911,199.106,266.479,267.854,231.851,153.799,183.369,178.416,166.26,80.324,155.122,99.1,68.749,53.047,68.772,105.974,130.793,177.685,99.08,128.261,98.092,75.103,119.806,139.081,95.433
Sytl5,NM_177704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fxyd1,NM_052991,0,0,0,0,0,0,0,0,0,0,0,2.132,3.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mocs2,NM_013826,178.984,123.022,165.878,194.971,135.709,145.798,243.352,307.475,123.625,63.232,173.736,140.725,167.711,176.652,143.737,134.439,154.844,103.123,167.981,133.246,211.948,126.829,123.392,251.829,122.431,126.943,167.536,114.597,125.173,170.775
Gm11595,NM_001126322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umod,NM_009470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ttc17,NM_183106,178.984,191.368,66.351,108.317,113.09,103.126,103.24,184.485,103.021,168.619,125.318,125.8,135.596,182.886,177.557,206.83,253.944,281.87,207.766,262.194,220.1,214.024,271.463,243.572,303.163,265.425,271.525,354.209,152.989,306.391
Igfbpl1,NM_018741,0,0,0,0,0,0,0,0,0,21.077,71.203,31.983,10.705,45.722,29.593,44.813,0,6.875,0,0,0,0,0,0,0,0,0,0,0,0
Serpina1a,NM_001252569,0,0,0,10.832,5.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akr1c14,NM_134072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epb41l1,NM_001291122,74.577,41.007,88.468,32.495,214.872,78.233,213.854,235.731,0,0,17.089,34.115,23.194,14.548,21.138,27.577,24.775,34.374,57.467,21.491,28.531,3.963,0,28.898,29.15,17.31,34.663,31.254,27.816,30.137
Spata7,NM_001289573,0,13.669,0,0,5.655,7.112,0,0,0,0,0,4.264,5.352,2.078,4.228,6.894,0,0,0,17.193,8.152,11.89,9.871,4.128,0,0,0,0,6.954,5.023
Hras,NM_001130444,1595.938,2064.037,1647.72,1483.943,2075.21,2165.64,1592.846,1578.373,2328.27,1749.42,2010.786,2123.673,2417.533,2396.228,2320.93,2109.662,2074.91,2144.964,1940.627,1590.359,1467.333,1652.742,1465.901,1333.453,239.033,351.977,398.621,718.835,326.841,602.737
Clip2,NM_009990,0,0,11.059,0,45.236,39.117,14.749,20.498,41.208,21.077,42.722,14.925,28.547,37.409,59.186,55.155,68.131,13.75,88.411,98.86,73.367,87.195,59.228,53.668,192.392,178.874,242.639,135.433,180.806,155.707
Elane,NM_015779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.262,0,0,0,0,0,0,0,0,5.209,0,0
