Symbol,Transcript/RepeatID,ys_10.5_dispo_1 (14.92),ys_10.5_dispo_2 (13.67),ys_11.5_dispo_1 (11.06),ys_11.5_dispo_2 (10.83),YS_12.5_new_dispomix_2 (5.65),YS_12.5_new_dispomix_3 (3.56),ys_13.5_dispo_1 (7.37),ys_13.5_dispo_2 (10.25),Brain_10.5_1 (20.60),Brain_10.5_2 (21.08),day11.5_brain_1 (2.85),day11.5_brain_2 (2.13),BRAIN_12_5_a (1.78),BRAIN_12_5_b (2.08),mic_E13_5 (4.23),mic_E14_5 (3.45),mic_E16_5_a (6.19),mic_E16_5_b (6.87),mic_day3_a (4.42),mic_day3_b (4.30),mic_day6_a (4.08),mic_day6_c (3.96),mic_day9_b (4.94),mic_day9_c (4.13),SC_a (5.83),SC_b (5.77),cortex_a (5.78),cortex_b (5.21),hipo_a (6.95),hipo_b (5.02)
Ptp4a3,NM_001166390,447.459,615.11,342.814,281.624,367.544,352.05,405.586,512.459,370.875,526.934,447.158,639.66,537.031,611.007,1505.011,1509.856,1251.14,1203.105,1175.87,1358.253,1173.867,1038.413,1224.052,1444.918,1288.444,1292.506,1623.37,1593.938,1189.145,1175.337
Fam150a,NM_001195732,0,0,0,0,0,0,0,0,0,0,0,2.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2rl1,NM_007974,0,0,0,0,0,0,0,0,0,0,0,2.132,1.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.023
Gngt2,NM_001284397,223.73,123.022,110.585,151.644,96.127,42.673,29.497,40.997,185.437,274.006,113.926,200.427,108.834,87.287,439.666,227.513,198.2,199.372,92.832,124.65,81.519,114.939,113.521,165.134,250.693,398.138,306.187,375.044,493.739,371.688
Ptms,NM_026988,283.391,341.728,1437.608,909.863,1368.394,1792.254,980.78,1557.875,782.958,421.547,1455.399,1567.168,2405.044,3015.547,5199.898,4843.261,3561.412,3849.935,4066.918,4431.515,3476.765,3955.483,3593.184,3736.146,3398.927,2336.898,3160.083,2651.355,3004.156,2481.266
Pcdha10,NM_009961,0,0,0,0,11.309,0,0,30.748,0,0,0,4.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankrd46,NM_175134,149.153,136.691,309.639,249.129,220.526,188.471,221.229,327.974,267.854,168.619,182.281,226.013,174.847,164.182,147.965,186.147,322.076,226.871,287.337,305.177,256.783,380.487,320.82,189.904,262.353,196.184,242.639,380.253,146.035,321.46
Ppfia1,NM_001195086,208.814,164.029,110.585,97.485,130.054,85.345,117.989,194.734,123.625,63.232,108.229,123.668,119.539,110.147,126.827,172.358,99.1,89.373,150.299,141.843,101.898,194.207,143.135,169.262,116.601,103.862,121.319,151.06,111.265,100.456
Nagk,NM_019542,44.746,0,33.176,64.99,45.236,64.009,95.866,71.744,82.417,84.309,51.266,76.759,57.093,87.287,21.138,17.236,12.388,41.249,39.785,38.684,24.456,23.78,24.678,28.898,17.49,5.77,46.217,26.045,6.954,25.114
Unc13a,NM_001029873,14.915,0,0,0,0,0,0,0,0,0,11.393,8.529,7.137,14.548,38.048,27.577,0,13.75,13.262,25.79,4.076,7.927,14.807,8.257,5.83,17.31,40.44,36.463,34.77,10.046
Acat1,NM_144784,611.528,505.757,641.394,769.051,491.943,561.857,597.317,553.456,803.562,674.475,512.665,643.925,524.542,494.625,156.42,113.756,154.844,103.123,150.299,107.457,101.898,190.244,197.428,99.08,169.072,115.402,190.645,145.851,152.989,175.798
Sash3,NM_028773,701.02,587.772,796.214,649.902,599.379,643.647,759.552,799.436,762.354,737.707,1008.241,916.847,865.316,802.206,1141.441,1051.384,904.289,893.735,857.589,829.566,823.337,860.06,794.647,1151.806,617.987,784.736,1005.218,817.805,1015.293,1175.337
Them5,NM_025416,0,0,0,0,0,0,0,0,0,0,0,0,1.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec4a2,NM_001170333,59.661,41.007,77.41,86.654,79.163,78.233,176.983,194.734,20.604,84.309,14.241,17.058,39.251,43.643,59.186,62.049,68.131,144.373,83.991,154.738,179.341,126.829,98.714,181.647,11.66,23.08,23.108,5.209,55.633,55.251
Olfr411,NM_146709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adh4,NM_011996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grm4,NM_001291045,0,0,0,0,0,0,7.374,0,0,0,2.848,0,0,4.157,12.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trrap,NM_001081362,134.238,150.36,298.58,97.485,260.108,270.26,339.217,297.226,247.25,147.541,353.169,307.037,165.927,189.121,249.426,261.984,222.975,405.618,278.496,322.37,252.707,265.548,192.492,276.599,209.882,167.333,329.296,281.283,201.668,286.3
Abca16,NM_001278944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddb1,NM_015735,1551.192,1544.611,1205.379,1234.814,1193.104,1113.046,1054.523,1127.41,1627.728,1243.564,1876.923,1899.792,1537.944,1400.744,2329.385,2623.289,1523.665,1636.222,1759.384,1826.764,1451.03,1303.962,1480.708,1453.175,670.457,657.793,849.236,781.342,1070.926,798.626
Nab2,NM_008668,119.322,287.052,187.995,194.971,661.579,718.324,457.206,553.456,164.833,0,176.585,230.278,115.97,182.886,414.301,489.497,408.788,426.243,331.542,322.37,456.504,578.658,404.727,491.272,483.895,317.356,317.741,369.835,361.611,406.847
Atxn7l3,NM_001098836,253.56,314.39,232.229,162.476,226.181,259.592,317.094,358.721,185.437,231.851,296.206,362.474,247.998,268.095,355.115,379.188,390.207,439.993,282.916,365.353,423.896,451.829,222.106,412.834,303.163,351.977,317.741,307.328,410.29,226.026
Klhl12,NM_001311136,14.915,41.007,0,10.832,0,14.224,14.749,0,41.208,0,19.937,10.661,5.352,4.157,8.455,20.683,12.388,27.5,30.944,8.597,8.152,7.927,0,37.155,5.83,40.391,5.777,10.418,20.862,30.137
Samt3,NM_028554,0,0,11.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-M10.3,NM_201608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyw5,NM_001302964,74.577,109.353,66.351,129.98,39.582,74.677,73.743,20.498,61.812,84.309,59.811,70.363,67.798,47.8,54.958,37.919,74.325,20.625,39.785,25.79,85.594,23.78,24.678,53.668,46.641,63.471,11.554,36.463,76.495,30.137
Serpina10,NM_001301404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ube2i,NM_001177610,1595.938,1626.625,1094.794,1288.972,1238.34,1344.19,1268.378,1311.895,1195.041,1707.265,1395.588,1901.924,1257.831,1226.17,1111.848,1406.442,1052.939,1120.606,1113.982,1267.989,1349.132,1347.559,1327.701,1358.223,909.49,830.897,924.339,796.969,1015.293,924.196
4933402P03Rik,NM_175368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cacna1e,NM_009782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.194,0,0,0,0,0,0,4.128,0,0,0,0,0,0
Pdzrn3,NM_018884,0,0,0,0,0,0,0,0,0,0,8.544,0,1.784,4.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsga10,NM_207228,0,0,0,0,0,0,0,0,0,0,0,4.264,0,2.078,0,3.447,0,0,0,0,0,0,0,0,0,0,0,15.627,6.954,0
Map2k5,NM_011840,44.746,68.346,132.702,75.822,107.436,124.462,95.866,61.495,123.625,105.387,105.381,81.024,123.107,193.278,152.192,148.228,210.588,178.747,137.037,197.72,138.581,158.536,93.778,169.262,99.111,92.322,231.085,140.642,118.219,236.072
Scgb1b2,NM_020563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bdp1,NM_001081061,44.746,54.676,33.176,43.327,28.273,39.117,22.123,0,0,126.464,51.266,27.719,17.842,12.47,29.593,34.472,24.775,82.499,17.682,21.491,16.304,27.744,14.807,20.642,0,28.851,5.777,36.463,27.816,20.091
Pcna,NM_011045,4474.593,4100.736,2996.859,3596.125,1611.539,1991.393,3104.576,2808.275,4079.623,4700.249,2691.491,3074.635,2533.503,2034.611,1187.944,1571.905,1102.489,1512.474,1436.683,958.514,1373.587,1656.705,1411.608,1349.967,303.163,351.977,439.061,395.88,347.703,421.916
Nipsnap3a,NM_028529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mtpap,NM_026157,134.238,205.037,187.995,205.802,101.781,192.027,243.352,225.482,350.271,210.773,210.762,283.583,192.689,147.556,224.061,255.09,173.425,178.747,159.14,154.738,256.783,225.914,241.849,293.112,192.392,184.644,196.422,281.283,159.943,261.186
Hhipl1,NM_001044380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpp6,NM_001164734,74.577,68.346,33.176,75.822,33.927,21.336,22.123,71.744,61.812,42.155,34.178,34.115,48.172,31.174,33.82,44.813,0,13.75,26.523,8.597,12.228,7.927,9.871,16.513,17.49,11.54,11.554,0,27.816,20.091
Fth1,NM_010239,12484.115,12780.627,12075.906,11503.267,11320.354,9185.3,14564.22,11950.542,12527.326,12330.248,9592.531,11573.59,7639.762,6637.945,4303.655,4922.546,2954.424,3375.568,2674.441,2303.872,1520.321,1854.876,1401.737,1440.79,2745.96,3617.864,2010.437,2760.743,2517.371,2310.491
Socs3,NM_007707,0,68.346,66.351,64.99,147.018,120.906,73.743,10.249,103.021,42.155,42.722,113.007,30.331,47.8,363.57,337.822,637.957,673.739,375.748,472.81,517.643,606.402,384.984,454.117,2530.248,2481.15,2050.877,1963.774,1196.099,1562.093
Plcd4,NM_001081456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akr1a1,NM_021473,701.02,423.743,840.448,855.704,791.633,842.786,921.786,953.174,494.5,569.088,774.694,1072.497,1193.601,1276.048,338.205,692.879,198.2,178.747,282.916,722.109,248.632,297.256,227.042,251.829,180.732,167.333,242.639,260.447,222.53,321.46
Vmn2r8,NM_001104620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.421,0,0,0,0,0,0,0,0,0,0,0
Gm14483,NM_001111037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap5m1,NM_144535,14.915,41.007,55.293,64.99,28.273,60.453,51.62,30.748,123.625,63.232,51.266,76.759,46.388,37.409,25.365,27.577,43.356,34.374,30.944,34.386,36.683,31.707,24.678,12.385,64.131,109.632,40.44,26.045,90.403,35.16
Elf1,NM_001286412,656.274,451.081,442.341,530.753,305.344,266.704,538.323,553.456,391.479,442.624,358.865,466.952,399.651,426.042,245.198,293.009,284.913,247.496,172.402,232.107,309.77,237.805,296.142,276.599,495.555,386.598,699.031,458.388,577.187,497.258
Ccnb1ip1,NM_001111119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.152,0,0,0,0,0,0,5.209,0,0
Plscr1,NM_011636,89.492,164.029,187.995,129.98,39.582,53.341,51.62,40.997,103.021,42.155,59.811,106.61,64.23,81.052,50.731,37.919,55.744,41.249,44.206,21.491,28.531,11.89,24.678,8.257,0,0,23.108,26.045,0,10.046
Ube2h,NM_001169577,119.322,205.037,387.048,530.753,395.817,330.713,346.592,379.22,288.458,379.392,310.447,428.573,221.236,299.269,583.403,713.562,538.857,439.993,481.841,511.494,346.454,574.694,523.183,458.246,390.614,438.529,525.718,692.79,605.004,512.326
Bre,NM_144541,119.322,123.022,154.819,140.812,214.872,302.265,95.866,122.99,206.042,126.464,102.533,127.932,148.085,172.495,63.413,75.838,49.55,48.124,48.626,55.877,81.519,39.634,88.842,61.925,338.144,57.701,288.856,270.865,152.989,281.277
Snta1,NM_009228,119.322,123.022,364.931,335.783,356.235,387.61,346.592,266.479,226.646,84.309,367.41,362.474,405.004,502.938,1069.573,1030.701,1313.077,1306.228,1401.319,1547.377,1018.982,1113.718,1322.766,1246.758,752.078,646.253,1184.309,968.865,848.396,929.219
Slc22a5,NM_011396,44.746,82.015,44.234,97.485,56.545,32.005,22.123,61.495,41.208,126.464,62.659,59.702,39.251,49.878,67.641,68.943,86.713,96.248,83.991,85.965,52.987,55.488,83.907,115.593,81.621,126.943,57.771,67.716,62.587,90.411
Otub1,NM_134150,178.984,191.368,165.878,303.288,277.072,181.359,221.229,174.236,144.229,168.619,219.307,281.451,297.954,334.599,190.24,175.805,161.038,254.371,145.879,167.632,134.506,138.719,148.071,156.877,139.922,213.494,202.199,218.776,125.173,215.981
Mpp3,NM_007863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4933427D14Rik,NM_028963,44.746,13.669,44.234,97.485,56.545,35.561,51.62,40.997,0,42.155,37.026,38.38,46.388,47.8,80.324,113.756,148.65,96.248,159.14,81.667,199.72,134.756,148.071,132.107,64.131,109.632,75.103,62.507,118.219,75.342
Olfr707,NM_001005570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wdr86,NM_001081441,0,0,0,0,0,0,7.374,10.249,0,0,2.848,2.132,1.784,0,0,0,0,0,0,0,0,3.963,4.936,0,0,0,0,0,0,0
BC024978,NM_001290513,14.915,0,0,10.832,0,17.78,14.749,20.498,20.604,0,8.544,14.925,10.705,4.157,0,0,30.969,13.75,4.421,4.298,0,7.927,0,12.385,0,0,0,0,0,30.137
Zbtb18,NM_001012330,104.407,95.684,55.293,64.99,56.545,67.565,36.871,92.243,185.437,295.083,108.229,140.725,71.366,103.913,312.839,286.114,353.044,378.119,296.178,326.668,305.694,229.878,301.077,441.732,291.503,392.368,392.844,416.716,528.509,517.349
Polr2d,NM_027101,775.596,902.162,652.453,801.546,322.308,291.597,457.206,512.459,700.541,1032.79,472.791,439.234,262.271,234.843,173.33,237.854,74.325,137.498,110.514,107.457,81.519,95.122,74.035,86.695,116.601,69.241,144.428,145.851,111.265,105.479
Ruvbl2,NM_011304,74.577,27.338,11.059,21.663,16.964,28.448,7.374,20.498,0,42.155,19.937,42.644,41.036,39.487,114.144,151.675,6.194,27.5,225.449,98.86,203.796,289.329,197.428,16.513,17.49,17.31,28.886,15.627,6.954,20.091
Pxdn,NM_181395,0,0,0,0,0,0,88.491,10.249,0,21.077,14.241,14.925,3.568,4.157,16.91,3.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trappc11,NM_177240,164.068,246.044,199.053,249.129,186.599,184.915,294.972,184.485,185.437,126.464,185.129,162.047,171.279,228.608,219.833,255.09,192.007,213.121,234.29,236.405,211.948,206.097,246.785,235.315,198.222,167.333,213.753,151.06,243.392,195.889
Akap12,NM_031185,0,0,0,0,0,14.224,0,40.997,0,0,11.393,4.264,5.352,2.078,0,10.341,0,0,0,0,4.076,7.927,0,8.257,0,0,0,0,0,0
Shisa9,NM_001174086,0,0,0,0,0,0,0,0,0,0,0,0,3.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ercc6l,NM_146235,178.984,205.037,99.527,86.654,22.618,21.336,58.994,20.498,61.812,168.619,54.115,44.776,46.388,33.252,25.365,55.155,12.388,20.625,26.523,8.597,36.683,39.634,64.164,45.412,0,0,17.331,0,0,10.046
Irx1,NM_010573,0,0,0,0,0,0,0,0,0,0,11.393,6.397,12.489,10.391,0,6.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp4b,NM_009724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fgl1,NM_145594,0,0,0,0,0,0,0,0,0,0,0,2.132,0,2.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gsn,NM_001206367,447.459,492.088,774.097,682.397,582.416,590.306,516.2,655.947,597.52,800.939,660.768,707.891,355.047,332.521,177.557,182.7,30.969,54.999,92.832,60.176,28.531,27.744,29.614,12.385,17.49,23.08,17.331,0,0,15.068
Agap2,NM_001301014,0,0,0,0,0,0,0,0,0,0,5.696,10.661,1.784,0,21.138,27.577,6.194,6.875,8.841,12.895,16.304,3.963,9.871,12.385,11.66,5.77,5.777,26.045,27.816,0
Spata1,NM_027617,14.915,13.669,22.117,21.663,22.618,14.224,14.749,0,0,0,25.633,17.058,10.705,16.626,21.138,24.13,18.581,6.875,39.785,51.579,28.531,3.963,4.936,16.513,11.66,28.851,5.777,46.881,20.862,50.228
Kirrel,NM_130867,0,0,0,0,0,0,7.374,0,41.208,0,14.241,6.397,0,4.157,8.455,3.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prrx1,NM_175686,0,0,0,0,0,0,0,0,0,0,2.848,8.529,8.921,2.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plekhf2,NM_175175,104.407,123.022,132.702,119.149,163.981,149.354,221.229,256.229,144.229,189.696,105.381,115.139,78.503,64.426,118.372,130.992,167.232,82.499,150.299,128.948,85.594,114.939,93.778,49.54,151.582,184.644,184.868,151.06,159.943,185.844
Sart3,NM_016926,522.036,341.728,265.405,238.297,458.016,320.045,464.58,256.229,412.083,400.47,478.487,454.159,310.443,303.425,486.169,554.993,241.557,329.994,366.907,275.089,366.833,277.439,325.756,383.935,291.503,201.954,363.958,177.104,285.117,236.072
Mrgprf,NM_145379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.023
Gm7120,NM_001177666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec4f,NM_016751,0,0,0,0,0,3.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
